title;link;numero_offre;location;description;company;note;salary;publication_date;date_actualisation;latitude;longitude;duration_contrat
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172600330W;172600330W;Lille - 59;Devenez le prochain collaborateur d'SII Nord, en tant que : Data analyst (H/F)   En intégrant l’équipe data de l'un de nos client, les missions qui vous sont confiées sont :   • D’aider à la conception des modèles de données • D’optimiser/améliorer le reporting existant • D’aider...;SII;39.53057;33 - 45 k€ brut annuel;2023-12-11T09:47:00.000+0000;2023-12-11T09:47:00.000+0000;('50.6318417',);('3.0469999',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172641526W;172641526W;Dinard - 35;Intégré au sein de l'équipe BI & DATA de la DSI du Groupe ROULLIER, vous accompagnerez les métiers du Groupe dans la valorisation de leurs données. Vous prendrez en charge la gestion applicative et la mise en uvre de solutions Data & Business Intelligence.  Vos missions sont les ...;Groupe Roullier;39.5;35 - 40 k€ brut annuel;2023-12-18T09:42:44.000+0000;2023-12-18T09:42:44.000+0000;('48.6250695',);('-2.0619801',);0
Data Analyst (° F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172735161W;172735161W;Paris 08 - 75;Vos Missions   Vous accompagnez nos clients dans la découverte de leur besoin, et les aidez dans le choix de leurs outils (Qlik, Power-BI, Tableau) en fonction des contraintes techniques   Vous échangez avec les métiers (marketing, RH, comptabilité, etc.) pour cadrer les attentes...;DECIDEOM ILE DE FRANCE;39.46932;43 - 55 k€ brut annuel;2024-01-03T06:03:24.000+0000;2024-01-03T06:03:24.000+0000;('48.875572',);('2.306898',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172632020W;172632020W;Niort - 79;Au sein de notre site Niortais, intégré(e) dans une équipe projet, vous mettez en œuvre des solutions d’aide à la décision permettant d’améliorer le pilotage stratégique et opérationnel de nos clients et de valoriser leurs données.  Vos missions sont les suivantes :  Instruire le...;BUSINESS & DECISION CORPORATE SERVICES;39.42822;A négocier;2023-12-14T18:19:48.000+0000;2023-12-14T18:19:48.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172623604W;172623604W;Puteaux - 92;Au sein du pôle Développement Partenariats et Entreprises de Société Générale Assurances, la Direction commerciale Epargne dans l'Entreprise définit et déploie la stratégie d'équipement de clients Entreprises en épargne retraite et épargne salariale au bénéfice de leurs salariés....;Meteojob;39.301594;A négocier;2023-12-14T00:27:46.000+0000;2023-12-14T00:27:46.000+0000;('48.8836138',);('2.2387286',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172591977W;172591977W;Paris 01 - 75;En tant que Data Analyste, vous serez responsable de l'analyse et de l'interprétation des données pour fournir des informations exploitables aux équipes internes de l'entreprise. Vous travaillerez en étroite collaboration avec les équipes DSID en charge du déploiement des usages ...;Hellowork;39.301594;A négocier;2023-12-11T01:15:04.000+0000;2023-12-11T01:15:04.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172653701W;172653701W;Bagneux - 92;Dans le cadre du développement de notre client, grande entreprise dans le secteur du traitement de déchets pour collectivités et entreprises, nous recherchons un Data Analyst H/F afin de structurer et développer le service (création de poste).  Rattaché(e) à la responsable région...;COMPLEO;39.28237;30 - 36 k€ brut annuel;2023-12-18T11:27:43.000+0000;2023-12-18T11:27:43.000+0000;('48.7983',);('2.3100836',);0
Data analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172747116W;172747116W;Blagnac - 31;Airbus SAS, leader mondial de l'industrie aéronautique, recherche actuellement un(e) Data Analyst F/H expérimenté(e) pour rejoindre son équipe dynamique à Blagnac.  Le poste est à pourvoir en intérim pour une durée initiale de 6 mois, avec possibilité de renouvellement.  Vous ser...;Synergie Toulouse Tertiaire;39.26595;A partir de 35 k€ brut annuel;2024-01-04T09:21:53.000+0000;2024-01-04T09:21:53.000+0000;('43.6415887',);('1.3798522',);6
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172635923W;172635923W;Boulogne-Billancourt - 92;Vous aimez manipuler les données ? Vous voulez contribuer à rendre les métiers du BTP plus sûrs ? Vous souhaitez travailler dans un environnement à la pointe des dernières technologies Data ? Alors le poste de Data Analyst à l'OPPBTP est fait pour vous ! Au sein de l'équipe Data ...;Hellowork;39.24197;A négocier;2023-12-18T00:56:27.000+0000;2023-12-18T00:56:27.000+0000;('48.8364563',);('2.2390736',);0
DATA ANALYST F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172716325W;172716325W;Lille - 59;Pour le compte de notre client, Centrale d'achats et de services dédiés aux opticiens indépendants, située sur la Métropole Lilloise et comptant plus de 2000 adhérents en France et en Belgique, nous recherchons un :   DATA ANALYST H/F  Au sein du département Data/BI/CRM, vous ass...;STUDIO RH;39.183056;A négocier;2023-12-28T09:01:02.000+0000;2023-12-28T09:01:02.000+0000;('50.6318417',);('3.0469999',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172576453W;172576453W;Lyon 01 - 69;Votre futur équipe  Vous rejoignez l'équipe en charge des projets de transformation digitale sous la supervision d'Oriane, Responsable d'Activités.  En tant que Data Analyst, vous contribuez au développement de l'activité autour de la gestion des données et de la transformation n...;Hellowork;39.183056;A négocier;2023-12-08T01:32:31.000+0000;2023-12-08T01:32:31.000+0000;('45.7700497',);('4.8285524',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172752791W;172752791W;Bordeaux - 33;GESER BEST INGENIERIE  Depuis 1991 GESER-BEST (11 agences en France/+ de 230 collaborateurs) accompagne ses clients de l'ingénierie à l'assistance technique.  Nos ingénieurs et techniciens mettent au service des entreprises leur expérience pour la conduite et la réalisation des p...;Hellowork;39.174404;28 - 38 k€ brut annuel;2024-01-05T00:46:46.000+0000;2024-01-05T00:46:46.000+0000;('44.8575361',);('-0.5734451',);0
DATA ANALYST - F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172737050W;172737050W;Bordeaux - 33;GESER BEST INGENIERIE     Depuis 1991 GESER-BEST (11 agences en France/+ de 230 collaborateurs) accompagne ses clients de l’ingénierie à l’assistance technique.   Nos ingénieurs et techniciens mettent au service des entreprises leur expérience pour la conduite et la réalisation d...;GESER BEST;39.174404;28 - 38 k€ brut annuel;2024-01-03T09:11:38.000+0000;2024-01-03T09:11:38.000+0000;('44.8575361',);('-0.5734451',);0
Business Data Analyst - Data Wranglers F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172685127W;172685127W;Puteaux - 92;Le profil de Data Analyst en Risque de Crédit sera positionné dans l'équipe data du département « Modèle » (RISQ/MDL) de la Direction des Risques.  Notre équipe collecte, organise et évalue les données de manière à alimenter efficacement les modèles de risque de crédit.  Elle fou...;Meteojob;41.520123;A négocier;2023-12-22T00:59:04.000+0000;2023-12-22T00:59:04.000+0000;('48.8836138',);('2.2387286',);0
Data Engineer F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172601750W;172601750W;Paris 08 - 75;Vous intégrez l'équipe Datahub de l'entreprise composée d'un Lead Data Engineer, 3 Data Engineers et une Product Manager.  Missions principales :  Créer de nouveaux jeux de données pour répondre aux besoins métiers et faire évoluer les jeux de données existants  Programmer, autom...;CARAZ;40.825333;60 - 70 k€ brut annuel;2023-12-11T11:46:58.000+0000;2023-12-11T11:46:58.000+0000;('48.8727215',);('2.312556',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172744615W;172744615W;Villeneuve-d'Ascq - 59;Nous recherchons un Data Analyst F/H pour pour notre Direction Connaissance clients et Data Intelligence sur Villeneuve-d'Ascq  La Direction Connaissance clients & Data Intelligence, a pour objectif d'accompagner les directions métier e-commerce, animation commerciale, la directi...;Hellowork;40.46733;A négocier;2024-01-04T01:02:13.000+0000;2024-01-04T01:02:13.000+0000;('50.6324675',);('3.1531138',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172494489W;172494489W;Paris 02 - 75;Les tâches proposées ?  Sous la supervision du Directeur des services, vous intégrez une équipe de purs players de la BI, basée en Île-de-France. Vous participez à toutes les phases de mise en œuvre d une application décisionnelle de BI agile et êtes amené à :  Analyser l'existan...;MYDRAL;40.180836;40 - 45 k€ brut annuel;2024-01-04T12:50:45.000+0000;2024-01-04T12:50:45.000+0000;('48.8682774',);('2.3427972',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172620110W;172620110W;Lille - 59;Tu souhaites rejoindre une communauté Data Addict à taille humaine ?  Nous recherchons un Data Analyst F/H qui aura un rôle à part entière dans la communauté CENISIS.  Nous t'apportons l'opportunité d'intervenir sur un large choix de projets mais également de faire partie de la C...;CENISIS;40.037792;A négocier;2023-12-13T09:49:39.000+0000;2023-12-13T09:49:39.000+0000;('50.6318417',);('3.0469999',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172757744W;172757744W;Boulogne-Billancourt - 92;Exomind recrute notre futur Data Analyst pour réaliser les missions suivantes :  Traiter, analyser et faire parler les données.  Mise en place d'algorithmes pour établir des prédictions.  Collaboration avec différents services pour analyse des données.  Force de proposition sur l...;Exomind;40.006012;A partir de 40 k€ brut annuel;2024-01-05T10:34:41.000+0000;2024-01-05T10:34:41.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172679306W;172679306W;Cluses - 74;In line with our 2030 ambition and the digitalization of our business models, we are recruiting within the Data Excellence team a Data Analyst. You will participate (depending on your competencies) in projects and/or activities aiming to implement Group Databases and to maintain ...;SOMFY ACTIVITES SA;39.81044;A négocier;2023-12-21T09:56:01.000+0000;2023-12-21T09:56:01.000+0000;0;0;0
Data Scientist F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172620622W;172620622W;Toulouse - 31;Nous recherchons un(e) Data Scientist(H/F) pour rejoindre nos équipes.    Votre rôle consistera à développer des modèles, effectuer des tests unitaires, participer aux phases de test et de mise en service, rédiger de la documentation technique, et communiquer efficacement avec le...;MP DATA;39.80914;A partir de 40 k€ brut annuel;2023-12-18T11:13:04.000+0000;2023-12-18T11:13:04.000+0000;('43.596013',);('1.4321019',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172753637W;172753637W;Nice - 06;Au sein de Quantilia, vous intégrerez l'équipe Data Science du pôle de Recherche &  Développement, dont la mission est d'assurer le développement et la maintenance du  logiciel sur la base de la roadmap déterminée conjointement avec l'équipe Produit. Le  pôle R&D se divise en tro...;Hellowork;39.781776;36 - 44 k€ brut annuel;2024-01-05T00:52:30.000+0000;2024-01-05T00:52:30.000+0000;0;0;0
Data analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172760810W;172760810W;Paris 09 - 75;Votre rôle Intégré à l'équipe Data avec des personnes expérimentées, tu contribueras à travailler sur une stratégie d'analyse de données évolutive et efficace qui répond aux besoins de nos équipes internes. mais aussi à ceux de nos patients . Une collaboration étroite avec ton Im...;Qare;39.750076;A négocier;2024-01-05T16:37:59.000+0000;2024-01-05T16:37:59.000+0000;('48.8771639',);('2.3374635',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172697993W;172697993W;Paris 01 - 75;Notre partenaire, élu parmi les meilleures sociétés de conseil et entreprise à plus forte croissance, est à la recherche de Data Analyst pour rejoindre ses équipes. Cette jeune société (10 ans d'existence), composée d'une 100aine de collaborateurs, est dotée d'une véritable commu...;FRANK CONSULTING SERVICES;39.670906;45 - 60 k€ brut annuel;2023-12-23T17:21:01.000+0000;2023-12-23T17:21:01.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172695640W;172695640W;Nanterre - 92;Directement rattaché au Manager Technique, le Data Analyst F/H a pour rôle de contrôler, d analyser, de développer et de maintenir la données à destination des équipes business.     Vos principales responsabilités seront de :  Identifier et corriger les problèmes de qualité des d...;FYTE;39.647167;A négocier;2023-12-22T18:29:34.000+0000;2023-12-22T18:29:34.000+0000;('48.896167',);('2.2070554',);6
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/171946508W;171946508W;Rennes - 35;Contexte :  Dans le cadre du renfort de ses activités de recherche et développement dans les domaines de la sécurité informatique et de la Cyberdéfense, les divisions Cyber de la Direction Générale de l'Armement, site de Bruz (près de Rennes), recrutent un ou une ingénieur chargé...;DGA DRH CPP FDCO;39.647167;34 - 50 k€ brut annuel;2023-12-08T17:25:21.000+0000;2023-12-08T17:25:21.000+0000;('48.1116777',);('-1.6818562',);0
Data Scientist F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172278095W;172278095W;Fontenay-sous-Bois - 94;En tant que Data Scientist, vos missions sont :  Concevoir des modélisations statistiques et des algorithmes pour exploiter les données.  Impulser des démarches innovantes sur des segments à fortes valeurs ajoutées.  Elaborer des modèles prédictifs afin d anticiper l'évolution de...;Kaisens data;39.57767;30 - 56 k€ brut annuel;2024-01-04T10:33:06.000+0000;2024-01-04T10:33:06.000+0000;('48.854042',);('2.487991',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172757109W;172757109W;Paris 02 - 75;NEXTON recrute un DATA ANALYST H/F , en CDI , à Paris !    Qui sommes-nous ?     NEXTON c'est avant tout une entreprise qui accompagne ses clients dans leur transformation digitale. Tous les jours, nous travaillons avec des grands comptes et des pures players (SNCF, Orange, BNP P...;NEXTON CONSULTING;39.55822;A négocier;2024-01-05T09:34:20.000+0000;2024-01-05T09:34:20.000+0000;('48.8682774',);('2.3427972',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172714664W;172714664W;Saint-Ouen - 93;"Les missions du Data Analyst sont variées : Recueil et extraction des sources de données pertinentes et de qualité qu'il traduit ensuite en données statistiques ; Traitement, exploitation et intégration des données dans un data warehouse (entrepôt de données) ; Création de dashbo...";Hellowork;39.530525;A négocier;2023-12-28T00:52:06.000+0000;2023-12-28T00:52:06.000+0000;('48.9096032',);('2.3334701',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172600330W;172600330W;Lille - 59;Devenez le prochain collaborateur d'SII Nord, en tant que : Data analyst (H/F)   En intégrant l’équipe data de l'un de nos client, les missions qui vous sont confiées sont :   • D’aider à la conception des modèles de données • D’optimiser/améliorer le reporting existant • D’aider...;SII;39.530525;33 - 45 k€ brut annuel;2023-12-11T09:47:00.000+0000;2023-12-11T09:47:00.000+0000;('50.6318417',);('3.0469999',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172641526W;172641526W;Dinard - 35;Intégré au sein de l'équipe BI & DATA de la DSI du Groupe ROULLIER, vous accompagnerez les métiers du Groupe dans la valorisation de leurs données. Vous prendrez en charge la gestion applicative et la mise en uvre de solutions Data & Business Intelligence.  Vos missions sont les ...;Groupe Roullier;39.499954;35 - 40 k€ brut annuel;2023-12-18T09:42:44.000+0000;2023-12-18T09:42:44.000+0000;('48.6250695',);('-2.0619801',);0
Data Analyst (° F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172735161W;172735161W;Paris 08 - 75;Vos Missions   Vous accompagnez nos clients dans la découverte de leur besoin, et les aidez dans le choix de leurs outils (Qlik, Power-BI, Tableau) en fonction des contraintes techniques   Vous échangez avec les métiers (marketing, RH, comptabilité, etc.) pour cadrer les attentes...;DECIDEOM ILE DE FRANCE;39.469273;43 - 55 k€ brut annuel;2024-01-03T06:03:24.000+0000;2024-01-03T06:03:24.000+0000;('48.875572',);('2.306898',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172632020W;172632020W;Niort - 79;Au sein de notre site Niortais, intégré(e) dans une équipe projet, vous mettez en œuvre des solutions d’aide à la décision permettant d’améliorer le pilotage stratégique et opérationnel de nos clients et de valoriser leurs données.  Vos missions sont les suivantes :  Instruire le...;BUSINESS & DECISION CORPORATE SERVICES;39.428173;A négocier;2023-12-14T18:19:48.000+0000;2023-12-14T18:19:48.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172623604W;172623604W;Puteaux - 92;Au sein du pôle Développement Partenariats et Entreprises de Société Générale Assurances, la Direction commerciale Epargne dans l'Entreprise définit et déploie la stratégie d'équipement de clients Entreprises en épargne retraite et épargne salariale au bénéfice de leurs salariés....;Meteojob;39.301548;A négocier;2023-12-14T00:27:46.000+0000;2023-12-14T00:27:46.000+0000;('48.8836138',);('2.2387286',);0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172591977W;172591977W;Paris 01 - 75;En tant que Data Analyste, vous serez responsable de l'analyse et de l'interprétation des données pour fournir des informations exploitables aux équipes internes de l'entreprise. Vous travaillerez en étroite collaboration avec les équipes DSID en charge du déploiement des usages ...;Hellowork;39.301548;A négocier;2023-12-11T01:15:04.000+0000;2023-12-11T01:15:04.000+0000;0;0;0
Data Analyst F/H;https://www.apec.fr/candidat/recherche-emploi.html/emploi/detail-offre/172653701W;172653701W;Bagneux - 92;Dans le cadre du développement de notre client, grande entreprise dans le secteur du traitement de déchets pour collectivités et entreprises, nous recherchons un Data Analyst H/F afin de structurer et développer le service (création de poste).  Rattaché(e) à la responsable région...;COMPLEO;39.282326;30 - 36 k€ brut annuel;2023-12-18T11:27:43.000+0000;2023-12-18T11:27:43.000+0000;('48.7983',);('2.3100836',);0
